time,wind_speed,wind_direction,power,density,temperature,pressure
2007-01-07 13:00:00+00:00,12.744786,297.46716,13.920757,1.2284914,267.56613,95860.38
2007-01-07 14:00:00+00:00,14.201493,295.88654,13.995861,1.2320744,267.21765,95919.82
2007-01-07 15:00:00+00:00,14.182933,298.54944,13.996524,1.2364508,266.83157,95989.85
2007-01-07 16:00:00+00:00,13.192731,299.01627,13.954259,1.2379414,267.29184,96070.27
2007-01-07 17:00:00+00:00,11.228669,300.6039,13.133431,1.236226,268.06116,96105.06
2007-01-07 18:00:00+00:00,9.372213,294.2008,9.473208,1.2347914,268.57535,96101.48
2007-01-07 19:00:00+00:00,8.2723055,287.69778,6.6177964,1.2328496,268.91183,96068.82
2007-01-07 20:00:00+00:00,8.101638,285.02347,6.2053375,1.2299858,269.01413,96016.87
2007-01-07 21:00:00+00:00,8.365369,277.6605,6.8173594,1.2288435,267.2759,95971.09
2007-01-07 22:00:00+00:00,8.852878,269.8336,8.086317,1.227919,264.31003,95907.62
2007-01-07 23:00:00+00:00,8.836414,262.14194,8.0336485,1.2264879,263.1809,95841.16
2007-01-08 00:00:00+00:00,9.122759,258.30035,8.779679,1.2248355,262.73486,95780.27
2007-01-08 01:00:00+00:00,8.29949,260.46854,6.629359,1.2231046,262.40103,95700.31
2007-01-08 02:00:00+00:00,7.6313987,266.26935,5.153136,1.2225052,262.3331,95611.35
2007-01-08 03:00:00+00:00,6.3562183,266.36026,2.9245431,1.2231855,262.79178,95517.88
2007-01-08 04:00:00+00:00,5.3534493,262.4512,1.6316255,1.2220106,264.03696,95444.26
2007-01-08 05:00:00+00:00,4.4536376,257.9204,0.85755515,1.2211035,264.78104,95367.28
2007-01-08 06:00:00+00:00,3.253541,245.40776,0.1722507,1.22298,264.62033,95294.72
2007-01-08 07:00:00+00:00,1.8832946,232.31435,0.008599536,1.2256328,264.3121,95247.5
2007-01-08 08:00:00+00:00,1.1574439,245.39801,0.0,1.2276555,264.00156,95235.59
2007-01-08 09:00:00+00:00,0.9201515,302.39862,0.0,1.2287228,264.3743,95241.086
2007-01-08 10:00:00+00:00,1.3308724,134.30896,0.0,1.2349838,264.79715,95253.29
2007-01-08 11:00:00+00:00,2.1309385,57.601154,0.006679051,1.2408482,264.86887,95292.74
2007-01-08 12:00:00+00:00,1.5922794,60.682133,0.0,1.241582,264.93527,95351.945
2007-01-08 13:00:00+00:00,1.9702557,37.941265,0.0032629762,1.2417228,265.03293,95404.13
2007-01-08 14:00:00+00:00,2.375662,39.66193,0.021766556,1.2428931,264.98026,95468.445
2007-01-08 15:00:00+00:00,2.9710562,30.72103,0.066687316,1.2438794,264.88388,95552.0
2007-01-08 16:00:00+00:00,2.7431862,22.146202,0.047765628,1.2449702,265.23306,95661.32
2007-01-08 17:00:00+00:00,2.421677,9.180677,0.025085889,1.2445623,265.60056,95756.31
2007-01-08 18:00:00+00:00,2.550297,269.05753,0.03403372,1.2422069,266.38696,95835.28
2007-01-08 19:00:00+00:00,2.9675634,354.5194,0.06331841,1.2402703,267.09396,95931.57
2007-01-08 20:00:00+00:00,3.3200276,346.0647,0.18654342,1.2395257,267.43552,96021.59
2007-01-08 21:00:00+00:00,3.2409937,337.91464,0.15250513,1.23987,267.4925,96123.375
2007-01-08 22:00:00+00:00,4.407037,340.4089,0.83509713,1.2399604,267.06223,96195.94
2007-01-08 23:00:00+00:00,5.2356124,345.1606,1.54631,1.2407752,266.51755,96297.18
2007-01-09 00:00:00+00:00,6.0833015,339.27908,2.5316799,1.2417698,266.17096,96422.16
2007-01-09 01:00:00+00:00,6.6495895,329.5201,3.426901,1.2430254,266.5883,96545.98
2007-01-09 02:00:00+00:00,7.038985,321.69528,4.1162996,1.2431427,267.09402,96635.625
2007-01-09 03:00:00+00:00,8.139006,312.6752,6.564781,1.2428966,267.5569,96704.98
2007-01-09 04:00:00+00:00,9.348514,314.24332,9.4972,1.2442179,267.76566,96796.84
2007-01-09 05:00:00+00:00,10.084242,313.22296,11.368176,1.2482611,266.5923,96894.96
2007-01-09 06:00:00+00:00,9.405792,312.1976,9.671914,1.2495072,267.11792,96976.91
2007-01-09 07:00:00+00:00,10.108438,301.82648,11.423926,1.2513156,265.47827,97044.43
2007-01-09 08:00:00+00:00,10.759244,302.27658,12.516442,1.2561209,263.73807,97118.51
2007-01-09 09:00:00+00:00,11.174877,300.1169,12.850563,1.261547,261.51425,97152.086
2007-01-09 10:00:00+00:00,12.122504,297.56232,13.821743,1.2663035,262.78806,97166.96
2007-01-09 11:00:00+00:00,12.778373,298.29062,13.951863,1.2696975,262.46625,97184.28
2007-01-09 12:00:00+00:00,12.61807,294.33542,13.941044,1.2720603,262.16635,97221.97
2007-01-09 13:00:00+00:00,11.912395,294.10938,13.740043,1.2720972,261.95407,97230.59
2007-01-09 14:00:00+00:00,9.938736,288.56693,11.0738325,1.2733927,259.87717,97235.4
2007-01-09 15:00:00+00:00,8.704467,280.56058,7.9653645,1.2728039,261.50125,97248.29
2007-01-09 16:00:00+00:00,7.860783,282.19766,5.9055004,1.2715653,263.60013,97254.4
2007-01-09 17:00:00+00:00,6.2608724,280.01404,2.9066775,1.2690535,264.48715,97247.836
2007-01-09 18:00:00+00:00,5.1980543,273.27023,1.5319476,1.2659681,265.09525,97207.93
2007-01-09 19:00:00+00:00,4.7578444,261.13705,1.1266717,1.2620957,265.73282,97158.87
2007-01-09 20:00:00+00:00,4.0869904,253.36525,0.60654646,1.2589566,265.8697,97094.555
2007-01-09 21:00:00+00:00,4.0849013,238.69594,0.58905417,1.2573745,264.12955,97033.51
2007-01-09 22:00:00+00:00,4.5266337,219.86076,0.93144226,1.2563454,261.51132,96969.66
2007-01-09 23:00:00+00:00,5.272345,192.4044,1.6662418,1.2567189,260.21912,96917.625
2007-01-10 00:00:00+00:00,6.0709214,178.84346,2.544668,1.2562395,259.7806,96885.66
2007-01-10 01:00:00+00:00,6.569898,165.72292,3.323228,1.2543694,260.30334,96826.375
2007-01-10 02:00:00+00:00,7.9068255,156.3964,5.897779,1.2552124,262.05432,96738.48
2007-01-10 03:00:00+00:00,8.039545,146.79091,6.1995354,1.2571534,263.78964,96628.23
2007-01-10 04:00:00+00:00,7.7796636,141.49736,5.6228065,1.2554301,264.86966,96532.71
2007-01-10 05:00:00+00:00,8.413203,138.59773,7.0722966,1.2529008,265.2313,96427.34
2007-01-10 06:00:00+00:00,8.951091,135.39977,8.485755,1.2498201,265.5482,96300.16
2007-01-10 07:00:00+00:00,9.434276,135.84294,9.730027,1.2463003,265.9258,96174.26
